target_time,y_true_dry_frac,edl_raw_prob_dry,edl_isotonic_prob_dry,edl_platt_prob_dry,edl_selected_prob_dry,clim_prob_dry,total_u,aleatoric_u,epistemic_u
2023-03-01,0.0,0.34075463,0.14886232,0.14143639064973518,0.14886232,0.2055281690140845,1.0960572,0.8598597,0.23619744
2023-04-01,0.7362089201877934,0.31046608,0.14215864,0.14338391618536186,0.14215864,0.1826056338028169,1.0937265,0.84574986,0.24797668
2023-05-01,0.17077464788732394,0.3087252,0.14159048,0.14349782596145458,0.14159048,0.17590962441314553,1.0959165,0.8528578,0.2430586
2023-06-01,0.00044014084507042255,0.30728418,0.14313714,0.1435892588352826,0.14313714,0.1045950704225352,1.0947654,0.8484632,0.2463023
2023-07-01,0.0019072769953051643,0.2993446,0.13784522,0.14410495144025773,0.13784522,0.011838660166124955,1.094297,0.8549613,0.23933573
2023-08-01,0.002348106838861168,0.33014366,0.14587718,0.14212358001818326,0.14587718,0.06350612991352644,1.0957191,0.85102755,0.24469155
2023-09-01,0.00044027003228646906,0.3420329,0.14838275,0.14135696977562667,0.14838275,0.06587681470276129,1.0964878,0.8493882,0.24709952
2023-10-01,0.3068682125036689,0.36096162,0.14784874,0.14016652027732807,0.14784874,0.1448827075478088,1.0922624,0.85792726,0.23433517
2023-11-01,0.2705399061032864,0.283857,0.13258225,0.14511346843133566,0.13258225,0.18200952509931384,1.0876254,0.8557565,0.23186891
2023-12-01,0.0010269953051643193,0.2921471,0.13462476,0.144573174561132,0.13462476,0.15560671722643557,1.0928738,0.8570752,0.23579858
2024-01-01,0.0,0.30318233,0.13918073,0.14385647545537106,0.13918073,0.17397887323943662,1.0945702,0.864518,0.23005207
2024-02-01,0.0,0.32842323,0.14613824,0.1422283208392028,0.14613824,0.1362030516431925,1.0916888,0.8603206,0.2313682
2024-03-01,0.03931924882629108,0.32650194,0.1460338,0.14235210305878385,0.1460338,0.2055281690140845,1.0906174,0.8566405,0.23397692
2024-04-01,0.24647887323943662,0.34315804,0.14726044,0.14129131428541877,0.14726044,0.1826056338028169,1.0939013,0.856481,0.23742034
2024-05-01,0.14128521126760563,0.3232266,0.14461844,0.14256525861720176,0.14461844,0.17590962441314553,1.093286,0.853484,0.23980209
2024-06-01,0.006602112676056338,0.32421872,0.14489464,0.14249996755703126,0.14489464,0.1045950704225352,1.0944532,0.85465235,0.23980081
2024-07-01,0.002347417840375587,0.29077888,0.13441774,0.14466203696032234,0.13441774,0.011838660166124955,1.0911657,0.8595192,0.23164646
2024-08-01,0.011740534194305841,0.30287233,0.13906917,0.1438768937055966,0.13906917,0.06350612991352644,1.0952127,0.86027354,0.2349392
2024-09-01,0.009098914000587027,0.30217612,0.13961315,0.14392132997756468,0.13961315,0.06587681470276129,1.0934753,0.8521226,0.24135269
2024-10-01,0.2938068682125037,0.29499698,0.1359767,0.1443873295817053,0.1359767,0.1448827075478088,1.0922595,0.8542596,0.23799992
2024-11-01,0.0067488262910798125,0.350645,0.14929086,0.1408073565145063,0.14929086,0.18200952509931384,1.0954237,0.8535147,0.24190903
2024-12-01,0.0013204225352112676,0.30979535,0.13921058,0.14343653728770592,0.13921058,0.15560671722643557,1.0890281,0.85811174,0.23091634
2025-01-01,0.9022887323943662,0.3097941,0.12984002,0.14343669797236533,0.12984002,0.17397887323943662,1.0871978,0.8541058,0.23309197
2025-02-01,0.0,0.39137965,0.14941786,0.13824787290060425,0.14941786,0.1362030516431925,1.0853865,0.8526057,0.23278087
2025-03-01,0.037411971830985914,0.32117078,0.14454095,0.14269372474322145,0.14454095,0.2055281690140845,1.0966476,0.8488462,0.24780138
2025-04-01,0.37646713615023475,0.3157246,0.14358957,0.14304477183799058,0.14358957,0.1826056338028169,1.0957425,0.8579591,0.23778333
2025-05-01,0.16153169014084506,0.35366783,0.14902152,0.1406178247904089,0.14902152,0.17590962441314553,1.0951203,0.85661644,0.23850386
2025-06-01,0.14891431924882628,0.33088297,0.14627942,0.14207174514322032,0.14627942,0.1045950704225352,1.0933433,0.85617656,0.23716676
2025-07-01,0.0005868544600938967,0.2866476,0.13309999,0.14493158190054617,0.13309999,0.011838660166124955,1.0894018,0.85773724,0.23166458
2025-08-01,0.0,0.30747226,0.14173105,0.14357854772379783,0.14173105,0.06350612991352644,1.0960106,0.8570133,0.2389973
2025-09-01,0.0,0.2931605,0.1349387,0.14450706624955467,0.1349387,0.06587681470276129,1.0915768,0.8546725,0.2369043
2025-10-01,0.013501614323451717,0.30758825,0.14158864,0.1435703759086465,0.14158864,0.1448827075478088,1.0950409,0.85739255,0.23764837
2025-11-01,0.023474178403755867,0.33245337,0.14678456,0.14197123798190175,0.14678456,0.18200952509931384,1.0952178,0.85465324,0.24056466
2025-12-01,0.0,0.35895908,0.14837539,0.1402888102953365,0.14837539,0.15560671722643557,1.0935097,0.8557672,0.23774254
2026-01-01,0.05472417840375587,0.3065047,0.13938783,0.1436450578422919,0.13938783,0.17397887323943662,1.0923442,0.8598352,0.23250896
2026-02-01,0.0,0.34312338,0.14746289,0.1412930050708713,0.14746289,0.1362030516431925,1.0956812,0.853835,0.24184623
2026-03-01,0.5824530516431925,0.32261154,0.14454284,0.14260254696858984,0.14454284,0.2055281690140845,1.0944861,0.8510197,0.24346645
