region,group_type,group_value,n_months,bs_climatology,bs_cfsv2_selected,bs_persistence_raw,bs_persistence_selected,cfsv2_bss_vs_climatology,persistence_raw_bss_vs_climatology,persistence_selected_bss_vs_climatology,cfsv2_bss_vs_persistence_raw,cfsv2_bss_vs_persistence_selected,delta_bs_cfsv2_minus_persistence_raw,delta_bs_raw_ci_low,delta_bs_raw_ci_high,delta_bs_cfsv2_minus_persistence_selected,delta_bs_selected_ci_low,delta_bs_selected_ci_high,added_value_status_raw,added_value_status_selected,source_file
mediterranean_spain,previous_dry_tercile,low_previous_dry,13,0.035682112471139886,0.049589446192415905,0.006831427890523533,0.006001262906169254,-0.38975645661462544,0.8085475489701213,0.8318131273471225,-6.259016268210301,-7.263168431004468,0.042758018301892374,0.0058808539011179755,0.08729207174747368,0.043588183286246654,0.008261644985905781,0.08751864069395046,persistence_robustly_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
mediterranean_spain,previous_dry_tercile,middle_previous_dry,13,0.04363720413768598,0.052485206045398476,0.04163337364983682,0.03894316100891404,-0.2027628048716159,0.045920230854538446,0.10756974974751121,-0.2606522470850543,-0.3477387219128072,0.010851832395561659,-0.051416152914827984,0.05936599777479122,0.013542045036484436,-0.04603479480061727,0.05863634539727458,persistence_uncertain_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
mediterranean_spain,season,DJF,10,0.028841431201798717,0.05423123876860926,0.03839537362252511,0.030783500474835624,-0.8803241208510861,-0.331257570190572,-0.06733609228503856,-0.41244201194057006,-0.7616982452317695,0.01583586514608415,-0.03387303374901517,0.052390780528359625,0.023447738293773637,-0.013406231722977616,0.052331037853832134,persistence_uncertain_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
mediterranean_spain,season,JJA,8,0.030047244625757027,0.08400491974973362,0.0809008087976475,0.07418593548216339,-1.7957611686538182,-1.6924534946641296,-1.4689763206630233,-0.03836934386960533,-0.13235641235434747,0.0031041109520861254,-0.15202704917532672,0.11769943826125336,0.009818984267570233,-0.12554981313259764,0.11622822953357557,persistence_uncertain_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
mediterranean_spain,season,MAM,11,0.09277862419941907,0.06551100630455026,0.053074713213461605,0.04857805045342525,0.29389978704857267,0.42794244179152285,0.4764090233865591,-0.23431672708378137,-0.3485721574471101,0.012436293091088652,-0.06956342215754192,0.08005241162056353,0.016932955851125003,-0.06343840287390992,0.09352781615247059,persistence_uncertain_better,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
mediterranean_spain,season,SON,10,0.02649931368411295,0.013466248385762733,0.03475582034796798,0.028911178234949358,0.4918265225172186,-0.31157435857688,-0.09101611383552122,0.6125469561373755,0.5342200073505126,-0.021289571962205246,-0.05453688069053728,0.007469804574406058,-0.015444929849186625,-0.039357403956965784,0.007887154375227705,cfsv2_uncertain_added_value,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_mediterranean_spain_lead1_allcycles_monthly_scores.csv
southern_great_plains,overall,all,39,0.06944821284507209,0.040747114573563385,0.02119815411422893,0.022920200681142238,0.41327338884207554,0.6947631444236206,0.6699670194210244,-0.9222010725081258,-0.7777817542011476,0.019548960459334457,0.002803682266684776,0.036187736424402844,0.017826913892421147,0.006347632092503277,0.028572630774184864,persistence_robustly_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,previous_dry_tercile,high_previous_dry,13,0.1510653307977891,0.035074350449887395,0.03911668640746529,0.03852706587205158,0.7678199871230764,0.7410611276532697,0.7449642107253411,0.10334044953271981,0.08961791779396489,-0.004042335957577893,-0.037944848271193675,0.02826281623147167,-0.0034527154221641876,-0.01994855156958641,0.010959668314781167,cfsv2_uncertain_added_value,cfsv2_uncertain_added_value,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,previous_dry_tercile,low_previous_dry,13,0.029030923884280156,0.04205963481912167,0.00872651790768505,0.012729328347046551,-0.44878733404335036,0.6994061249146005,0.5615252067834016,-3.81975001530469,-2.3041519294991173,0.033333116911436624,0.01117738433300251,0.061648717461213545,0.029330306472075122,0.012060396792133055,0.049262832971121676,persistence_robustly_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,previous_dry_tercile,middle_previous_dry,13,0.028248383853146933,0.04510735845168108,0.01575125802753644,0.017504207824328585,-0.596812004756726,0.4424014446482497,0.3803465743269919,-1.863730526972775,-1.5769437214398065,0.029356100424144643,0.006783776183456461,0.05318914252674505,0.027603150627352496,0.008719679994496745,0.04722030267782742,persistence_robustly_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,season,DJF,10,0.08860687297811698,0.04685747529926409,0.007646543660245124,0.028499119581822968,0.4711756128575222,0.9137025898416078,0.6783644583771586,-5.127928823957305,-0.6441727318885411,0.03921093163901897,0.01674871727624282,0.06371414103211553,0.01835835571744112,0.0003816829407974586,0.036573627357801446,persistence_robustly_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,season,JJA,8,0.023644692365782472,0.015234550467966172,0.022170763625841763,0.014167777515176628,0.35568836201003307,0.06233655812218186,0.40080516608117966,0.3128540484636664,-0.07529571604627527,-0.006936213157875591,-0.04238955352413641,0.027150075134261258,0.001066772952789544,-0.01890249293134867,0.026542543301656795,cfsv2_uncertain_added_value,persistence_uncertain_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,season,MAM,11,0.09807282846599265,0.05897335108052293,0.026379175891432693,0.030017735884290932,0.39867798244472674,0.7310246242099581,0.6939240322338642,-1.235602481413228,-0.9646168954196586,0.03259417518909023,-0.006322392390404508,0.06935369159701817,0.028955615196231996,0.0032790137387197155,0.05254559839709759,persistence_uncertain_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
southern_great_plains,season,SON,10,0.05544529191244617,0.03499794497468496,0.028272553003998314,0.016535931589770438,0.3687841876646565,0.49008198841042105,0.701761303450573,-0.23787706648690476,-1.116478577858632,0.006725391970686646,-0.021935719180523363,0.026912634287001688,0.018462013384914523,0.0013181403518313921,0.03836302899162105,persistence_uncertain_better,persistence_robustly_better,results/report/landsurface_cfsv2_rzsm_southern_great_plains_lead1_allcycles_monthly_scores.csv
