region,region_name,model,forecast,bs,bias_mean_pred_minus_obs,mae,corr_with_observed,std_pred,std_observed,amplitude_ratio_pred_to_obs,mean_pred,mean_observed,min_pred,max_pred,min_observed,max_observed
mediterranean_spain,Mediterranean Spain bounding box,spatial,climatology,0.04797743510803816,-0.011837684767852892,0.16489655271148945,0.07001122539901092,0.014143412114244252,0.22101251042987036,0.06399371730919327,0.14394946114232193,0.15578714591017484,0.1208987466065961,0.166286783164274,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,spatial,raw,0.07334877655078512,0.0974396522326823,0.2191680571324118,0.09864233380242175,0.15030395536228203,0.22101251042987036,0.6800698977172837,0.25322679814285715,0.15578714591017484,0.062789544,0.6728946,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,spatial,isotonic,0.04691596886776395,0.0012836133120473995,0.1645384350337704,0.15941001184716397,0.043339637700764745,0.22101251042987036,0.19609585727282564,0.15707075922222222,0.15578714591017484,0.048374943,0.34233317,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,spatial,platt,0.04775506287115798,-0.0030298875956977158,0.1629722428819266,0.1093128470707841,0.04006955181475753,0.22101251042987036,0.1812999261300732,0.1527572583144771,0.15578714591017484,0.1079163420653199,0.2815152346580364,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,spatial,selected,0.04691596886776395,0.0012836133120473995,0.1645384350337704,0.15941001184716397,0.043339637700764745,0.22101251042987036,0.19609585727282564,0.15707075922222222,0.15578714591017484,0.048374943,0.34233317,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,tabular,climatology,0.04797743510803816,-0.011837684767852892,0.16489655271148945,0.07001122539901092,0.014143412114244252,0.22101251042987036,0.06399371730919327,0.14394946114232193,0.15578714591017484,0.1208987466065961,0.166286783164274,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,tabular,raw,0.07343833937969466,0.1043753955025236,0.21950256561868545,0.10794557440489494,0.14745155496514725,0.22101251042987036,0.6671638391797519,0.2601625414126984,0.15578714591017484,0.068631,0.64574957,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,tabular,isotonic,0.04586511310382191,0.004999180756491843,0.16284670038297674,0.21587824421418453,0.050771774220956405,0.22101251042987036,0.22972353068251689,0.1607863266666667,0.15578714591017484,0.07439643,0.38157317,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,tabular,platt,0.04761867245980978,-0.0035225276085477123,0.16246405915232243,0.12497330872295008,0.04466409694581622,0.22101251042987036,0.20208854629515924,0.1522646183016271,0.15578714591017484,0.1021252828103378,0.2862011059671312,0.0,0.8129151504649685
mediterranean_spain,Mediterranean Spain bounding box,tabular,selected,0.04586511310382191,0.004999180756491843,0.16284670038297674,0.21587824421418453,0.050771774220956405,0.22101251042987036,0.22972353068251689,0.1607863266666667,0.15578714591017484,0.07439643,0.38157317,0.0,0.8129151504649685
southern_great_plains,Southern Great Plains,spatial,climatology,0.047721439085639986,-0.04793880065054153,0.1668519039215396,-0.21250859894808577,0.012435115753542912,0.21185287517926937,0.05869694118156456,0.16005554418590856,0.20799434483645002,0.1467455621301775,0.1827203363438181,0.0,0.8635627530364373
southern_great_plains,Southern Great Plains,spatial,raw,0.0660042308865446,0.05054002879847056,0.20422048399929305,0.06712184570311802,0.1549107121744776,0.21185287517926937,0.7312183610602053,0.2585343736349206,0.20799434483645002,0.029611379,0.5905764,0.0,0.8635627530364373
southern_great_plains,Southern Great Plains,spatial,isotonic,0.05163459820962206,-0.08812185863010084,0.16368089393978535,0.09071433678015996,0.011193298105637546,0.21185287517926937,0.05283524283617017,0.11987248620634922,0.20799434483645002,0.10563805,0.15580638,0.0,0.8635627530364373
southern_great_plains,Southern Great Plains,spatial,platt,0.05198391732935318,-0.08869008993736656,0.1637360315990045,0.06740256053071378,0.001957617283181153,0.21185287517926937,0.009240456526844973,0.11930425489908347,0.20799434483645002,0.1164399273674547,0.1235269283217235,0.0,0.8635627530364373
