category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target soil-memory XGBoost,isotonic,62,0.1269486677442054,0.1469568075053681,-0.1576081113468481,-0.413105966513448,0.0074119749882753,,,,not_distinguishable_from_climatology,False,variant=soil_memory; best_validation_calibration=isotonic; spearman=-0.102; amplitude_ratio=0.314; top_features=nino34_lag2; rootzone_sm_anom_lag2; swvl1_anom_lag2; swvl3_anom_lag1; swvl3_anom_lag2; swvl2_anom_lag2; rootzone_sm_anom_lag1; swvl2_anom_lag1,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target soil-memory XGBoost,platt,62,0.1269486677442054,0.1244711716303315,0.0195157314991749,-0.0225390654533681,0.054456802505971,,,,positive_uncertain,False,variant=soil_memory; best_validation_calibration=isotonic; spearman=-0.090; amplitude_ratio=0.021; top_features=nino34_lag2; rootzone_sm_anom_lag2; swvl1_anom_lag2; swvl3_anom_lag1; swvl3_anom_lag2; swvl2_anom_lag2; rootzone_sm_anom_lag1; swvl2_anom_lag1,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Memory target soil-memory XGBoost,selected,62,0.1269486677442054,0.1469568075053681,-0.1576081113468481,-0.409904380861572,0.0121116688621265,,,,not_distinguishable_from_climatology,True,variant=soil_memory; best_validation_calibration=isotonic; spearman=-0.102; amplitude_ratio=0.314; top_features=nino34_lag2; rootzone_sm_anom_lag2; swvl1_anom_lag2; swvl3_anom_lag1; swvl3_anom_lag2; swvl2_anom_lag2; rootzone_sm_anom_lag1; swvl2_anom_lag1,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,target-consistent persistence,none,62,0.1269486677442054,0.2474462202644355,-0.9491832774726404,-2.018791143323845,-0.3291745620200769,,,,robust_negative,True,variant=lag_climate; best_validation_calibration=platt; spearman=-0.163; amplitude_ratio=1.019; top_features=nino34_lag2; nino34_lag1; month_cos; month_sin; spi6_lag1; spi3_lag1; spi1_lag3; spi1_lag2,outputs/memory_target_spi6_lead6_summary.csv
central_valley_memory_target,memory_target_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,target-consistent persistence,none,62,0.1269486677442054,0.2474462202644355,-0.9491832774726404,-2.018791143323845,-0.3291745620200769,,,,robust_negative,False,variant=soil_memory; best_validation_calibration=isotonic; spearman=-0.163; amplitude_ratio=1.019; top_features=nino34_lag2; rootzone_sm_anom_lag2; swvl1_anom_lag2; swvl3_anom_lag1; swvl3_anom_lag2; swvl2_anom_lag2; rootzone_sm_anom_lag1; swvl2_anom_lag1,outputs/memory_target_spi6_lead6_summary.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Climatological baseline,raw_or_model_default,63,0.0643,0.0643,0.0,,,,0.0,,reference,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,ConvLSTM,raw_or_model_default,63,0.0643,0.0872,-0.3565,-1.2722,0.0264,0.5886,0.0933,,not_distinguishable_from_climatology,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Logistic Regression,raw_or_model_default,63,0.0643,0.0893,-0.3888,-1.7116,0.1126,0.8409,0.124,,not_distinguishable_from_climatology,False,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Persistence baseline,raw_or_model_default,63,0.0643,0.1018,-0.5836,-1.5913,0.015,0.5057,0.0833,,not_distinguishable_from_climatology,False,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
central_valley_model_suite_raw,canonical_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,Random Forest,raw_or_model_default,63,0.0643,0.0686,-0.0679,-0.4051,0.0972,0.6614,-0.0427,,not_distinguishable_from_climatology,True,Monthly-level score; pixel metrics are secondary.,outputs/forecast_skill_bss_hss_table.csv
