category,scope,region,target,lead_months,model,calibration,n_test_months,bs_reference,bs_model,bss_vs_climatology,bss_ci_low,bss_ci_high,roc_auc_dry,hss,delta_bss,claim_status,headline,notes,source_file
central_valley_seasonal_target,seasonal_spi3_lead3,California Central Valley,SPI-3 dry fraction,3,Seasonal SPI-3 lead-3 xgb_isotonic,xgb_isotonic,59,0.08764639097130043,0.08448736234323197,0.036042883147383464,-0.12696446954341822,0.13957519178565275,,,,positive_uncertain,True,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead3_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi3_lead6,California Central Valley,SPI-3 dry fraction,6,Seasonal SPI-3 lead-6 xgb_isotonic,xgb_isotonic,62,0.08421154839669028,0.09329158719373742,-0.10782415203048346,-0.3321384930026321,0.057628462931118445,,,,not_distinguishable_from_climatology,True,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi3_lead6_monthly_scores.csv
central_valley_seasonal_target,seasonal_spi6_lead6,California Central Valley,SPI-6 dry fraction,6,Seasonal SPI-6 lead-6 xgb_isotonic,xgb_isotonic,62,0.1269486677442054,0.14092420943824013,-0.11008813201722356,-0.3495045855132963,0.03115783933692665,,,,not_distinguishable_from_climatology,True,Leakage-safe seasonal target with lead >= SPI accumulation window.,outputs/seasonal_spi6_lead6_monthly_scores.csv
central_valley_uncertainty,canonical_spi1_lead1_edl,California Central Valley,SPI-1 dry fraction,1,EDL MLP selected,selected,63,0.06427839150335463,0.07174914859356982,-0.11622501614442693,-0.20737355590795978,-0.05920143351907585,,,,robust_negative,True,"Dirichlet EDL uncertainty; selected monthly uncertainty Spearman corr(abs error): total=0.028, epistemic=0.117.",outputs/edl_uncertainty_monthly.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: enso,raw,63,,,-0.14477,,,,,0.12678,negative_no_ci,True,"Ablated features: nino34_lag1, nino34_lag2",outputs/feature_ablation_results.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: all_features,raw,63,,,-0.2715460787970962,,,,,0.0,negative_no_ci,True,Ablated features: ,outputs/feature_ablation_results.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: pr_lags,raw,63,,,-0.45518,,,,,-0.18363,negative_no_ci,True,"Ablated features: pr_lag1, pr_lag2, pr_lag3",outputs/feature_ablation_results.csv
feature_ablation,canonical_spi1_lead1_xgb_raw,California Central Valley,SPI-1 dry fraction,1,XGBoost ablation: seasonality,raw,63,,,-0.46323,,,,,-0.19168,negative_no_ci,True,"Ablated features: month_sin, month_cos",outputs/feature_ablation_results.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley,SPI-1 dry fraction,1,spatial XGBoost,isotonic,63,0.0642783915033546,0.0659779185254207,-0.0264400988001913,-0.12448747003432,0.0470407181338282,0.6800733142691606,,,not_distinguishable_from_climatology,True,Region slug=cvalley; raw BSS=-0.196.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,California Central Valley (basin-mask sensitivity),SPI-1 dry fraction,1,tabular XGBoost,isotonic,63,0.0683066976439079,0.0697169833850878,-0.0206463756823946,-0.1285208541488486,0.0423252060601063,0.719930105427472,,,not_distinguishable_from_climatology,True,Region slug=cvalley_basin_masked; raw BSS=-0.022.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,Horn of Africa bounding box (country-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,63,0.0134345534864319,0.0138524854129814,-0.0311087321935619,-0.3024123316724255,0.3196699796106816,0.5772511763268253,,,not_distinguishable_from_climatology,True,Region slug=horn_of_africa_country_masked; raw BSS=-2.134.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box,SPI-1 dry fraction,1,tabular XGBoost,isotonic,63,0.0479774351080381,0.045865113019248,0.044027407551768,-0.1510430884140117,0.2409632775351689,0.5380477523521959,,,positive_uncertain,True,Region slug=mediterranean_spain; raw BSS=-0.531.,results/multiregion/multiregion_summary.csv
multi_region_selected_checkpoint,multi_region_spi1_lead1,Mediterranean Spain bounding box (basin-mask sensitivity),SPI-1 dry fraction,1,spatial XGBoost,isotonic,63,0.0436844649346493,0.0473796723833056,-0.0845885935465671,-0.2343410217289551,0.0340980808411184,0.5208518133238813,,,not_distinguishable_from_climatology,True,Region slug=mediterranean_spain_basin_masked; raw BSS=-0.484.,results/multiregion/multiregion_summary.csv
