target_time,y_true_dry_frac,pred_prob_dry,clim_prob_dry,n_pixels,scenario,selected_calibration
1993-12-01,0.02205177372962608,0.009042968,0.14229303402516438,1043,random_spi1_rows,isotonic
1994-01-01,0.08811881188118811,0.06549148,0.18099466182576343,1010,random_spi1_rows,isotonic
1994-02-01,0.0,0.0023529944,0.19317394731185364,997,random_spi1_rows,isotonic
1994-03-01,0.5358898721730581,0.5784782,0.18959800953265984,1017,random_spi1_rows,isotonic
1994-04-01,0.18620689655172415,0.151525,0.20948455894583157,1015,random_spi1_rows,isotonic
1994-05-01,0.009891196834817012,0.004899424,0.17964827989774862,1011,random_spi1_rows,isotonic
1994-06-01,0.3363914373088685,0.3206063,0.10655945256578907,981,random_spi1_rows,isotonic
1994-07-01,0.002973240832507433,0.0002668388,0.009249053529496334,1009,random_spi1_rows,isotonic
1994-08-01,0.10067763794772508,0.075265914,0.05130344984930175,1033,random_spi1_rows,isotonic
1994-09-01,0.004690431519699813,0.0014960212,0.05656632088726794,1066,random_spi1_rows,isotonic
1994-10-01,0.027579162410623085,0.010895218,0.19524203112085384,979,random_spi1_rows,isotonic
1994-11-01,0.0,0.00054060156,0.167907539953722,1019,random_spi1_rows,isotonic
1994-12-01,0.25940996948118006,0.2540289,0.14229303402516438,983,random_spi1_rows,isotonic
1995-01-01,0.0,8.999524e-05,0.18099466182576343,1047,random_spi1_rows,isotonic
1995-02-01,0.8393574297188755,0.8552153,0.19317394731185364,996,random_spi1_rows,isotonic
1995-03-01,0.0,4.8721704e-06,0.18959800953265984,1058,random_spi1_rows,isotonic
1995-04-01,0.02,0.007225988,0.20948455894583157,1000,random_spi1_rows,isotonic
1995-05-01,0.0,0.00010705576,0.17964827989774862,1013,random_spi1_rows,isotonic
1995-06-01,0.0027803521779425394,0.00031762492,0.10655945256578907,1079,random_spi1_rows,isotonic
1995-07-01,0.0,0.0004856632,0.009249053529496334,1026,random_spi1_rows,isotonic
1995-08-01,0.0650887573964497,0.04255555,0.05130344984930175,1014,random_spi1_rows,isotonic
1995-09-01,0.16104868913857678,0.16830884,0.05656632088726794,1068,random_spi1_rows,isotonic
1995-10-01,0.7891625615763547,0.8258812,0.19524203112085384,1015,random_spi1_rows,isotonic
1995-11-01,0.8258754863813229,0.8707687,0.167907539953722,1028,random_spi1_rows,isotonic
1995-12-01,0.0,0.00056709896,0.14229303402516438,1033,random_spi1_rows,isotonic
1996-01-01,0.0,0.0013265907,0.18099466182576343,1012,random_spi1_rows,isotonic
1996-02-01,0.0,0.00035613118,0.19317394731185364,1058,random_spi1_rows,isotonic
1996-03-01,0.05135658914728682,0.031532243,0.18959800953265984,1032,random_spi1_rows,isotonic
1996-04-01,0.053643724696356275,0.032923926,0.20948455894583157,988,random_spi1_rows,isotonic
1996-05-01,0.046,0.009947198,0.17964827989774862,1000,random_spi1_rows,isotonic
1996-06-01,0.2109375,0.20369382,0.10655945256578907,1024,random_spi1_rows,isotonic
1996-07-01,0.000970873786407767,0.000543159,0.009249053529496334,1030,random_spi1_rows,isotonic
1996-08-01,0.6264591439688716,0.61610353,0.05130344984930175,1028,random_spi1_rows,isotonic
