target_time,y_true_dry_frac,clim_prob_dry,lag_climate_raw_prob_dry,lag_climate_isotonic_prob_dry,lag_climate_platt_prob_dry,lag_climate_selected_prob_dry,lag_climate_persistence_prob_dry,soil_memory_raw_prob_dry,soil_memory_isotonic_prob_dry,soil_memory_platt_prob_dry,soil_memory_selected_prob_dry,soil_memory_persistence_prob_dry
2022-05-01,0.9423415492957746,0.2029577464788732,0.23287635,0.1945931,0.23725870239444724,0.23725870239444724,0.0,0.30934033,0.10785742,0.19067022096157377,0.10785742,0.0
2022-06-01,1.0,0.16487676056338027,0.22038755,0.100411035,0.2428712754754466,0.2428712754754466,0.0,0.30085564,0.0020950888,0.18723891746694116,0.0020950888,0.0
2022-07-01,0.9986795774647887,0.18375586854460094,0.25421697,0.195535,0.2279181934263611,0.2279181934263611,0.003227699530516432,0.3156917,0.1333891,0.19325462044221922,0.1333891,0.003227699530516432
2022-08-01,0.7426643192488263,0.1945070422535211,0.23518586,0.1866612,0.2362403930435108,0.2362403930435108,0.14847417840375587,0.32072976,0.14777274,0.19533094985746008,0.14777274,0.14847417840375587
2022-09-01,0.3757335680751174,0.17824530516431927,0.30258036,0.2018445,0.20782639846947562,0.20782639846947562,0.3902582159624413,0.3360991,0.2351891,0.20177240532318588,0.2351891,0.3902582159624413
2022-10-01,0.6307218309859155,0.14584507042253522,0.39601645,0.20376097,0.1725007152663417,0.1725007152663417,0.9411678403755869,0.35756102,0.2351891,0.2110228288905254,0.2351891,0.9411678403755869
2022-11-01,0.25425469483568075,0.12301056338028168,0.4153047,0.20376097,0.1659126472570712,0.1659126472570712,0.9423415492957746,0.3334006,0.2351891,0.20063082835728516,0.2351891,0.9423415492957746
2022-12-01,0.0,0.14687161430119178,0.44698268,0.20376097,0.15532568827884619,0.15532568827884619,1.0,0.34035903,0.2351891,0.20358525893043034,0.2351891,1.0
2023-01-01,0.0,0.16949809216319342,0.33656886,0.20376097,0.19430855875388958,0.19430855875388958,0.9986791899031406,0.33805966,0.2351891,0.2026014807810674,0.2351891,0.9986791899031406
2023-02-01,0.0,0.1422307014969181,0.31714112,0.20370868,0.20188418336504294,0.20188418336504294,0.7425887877898444,0.3325902,0.2351891,0.200294894293378,0.2351891,0.7425887877898444
2023-03-01,0.0,0.1637745817434693,0.3192851,0.20376097,0.2010147071758143,0.2010147071758143,0.3755503375403581,0.34477344,0.2351891,0.20548546768271622,0.2351891,0.3755503375403581
2023-04-01,0.0,0.18570422535211267,0.29712158,0.20024884,0.21020829483732323,0.21020829483732323,0.6307218309859155,0.33329538,0.23469515,0.20058521033824794,0.23469515,0.6307218309859155
2023-05-01,0.0,0.2029577464788732,0.25009766,0.19286427,0.2297114706831349,0.2297114706831349,0.25425469483568075,0.32345277,0.18602683,0.19646152005252754,0.18602683,0.25425469483568075
2023-06-01,0.0,0.16487676056338027,0.26879835,0.19567809,0.22168214570945496,0.22168214570945496,0.0,0.3358773,0.2351891,0.20167522838333782,0.2351891,0.0
2023-07-01,0.0,0.18375586854460094,0.26255018,0.19573407,0.22433434893260012,0.22433434893260012,0.0,0.30507132,0.034801926,0.18893497373544751,0.034801926,0.0
2023-08-01,0.0,0.1945070422535211,0.40688497,0.20376097,0.16867761515696034,0.16867761515696034,0.0,0.3596252,0.2351891,0.21192914299165175,0.2351891,0.0
2023-09-01,0.517018779342723,0.17824530516431927,0.294846,0.20267382,0.210839683990671,0.210839683990671,0.0,0.3299823,0.22028735,0.19920633201150895,0.22028735,0.0
2023-10-01,0.2567488262910798,0.14584507042253522,0.3340257,0.20368135,0.19539588747923156,0.19539588747923156,0.0,0.3158532,0.13496609,0.19332160444444504,0.13496609,0.0
2023-11-01,0.383362676056338,0.12301056338028168,0.28478834,0.20164846,0.21499352658248294,0.21499352658248294,0.0,0.3109915,0.13330692,0.19133276294119775,0.13330692,0.0
2023-12-01,0.2862382629107981,0.14687161430119178,0.28209373,0.19919376,0.21615010190811418,0.21615010190811418,0.0,0.32163522,0.1416669,0.19570563967607846,0.1416669,0.0
2024-01-01,0.04608159671265043,0.16949809216319342,0.30140266,0.20112371,0.2085048774759723,0.2085048774759723,0.0,0.3356344,0.21670152,0.20159139969311568,0.21670152,0.0
2024-02-01,0.001174053419430584,0.1422307014969181,0.41673845,0.20376097,0.1653155810165729,0.1653155810165729,0.0,0.30687696,0.06575255,0.18966361549490382,0.06575255,0.0
