run_slug,model,zone,selected_calibration,n_test_months,mean_test_pixels_per_month,n_train_pixels_for_climatology,obs_dry_mean,pred_selected_dry_mean,pred_raw_dry_mean,zone_clim_dry_mean,selected_bias,raw_bias,selected_corr,raw_corr,selected_amplitude_ratio,raw_amplitude_ratio,selected_bs,raw_bs,zone_clim_bs,selected_bss_vs_zone_climatology,raw_bss_vs_zone_climatology,months_obs_dry_frac_ge_0_25,months_obs_dry_frac_ge_0_50
murray_darling_basin_masked,spatial,0,platt,63,8022.0,12875310.0,0.11571946987055441,0.228828220785138,0.2843885536665176,0.1576202439628019,0.11310875091458365,0.16866908379596324,-0.22994698004595832,0.2355943985034845,0.2542497188866468,0.49139097364818235,0.057946750525270846,0.06704314081266456,0.0427708408270128,-0.35481906375507544,-0.5674964418824819,12,5
murray_darling_basin_masked,spatial,1,platt,63,11373.0,18253665.0,0.12449982484274226,0.23090176805091311,0.27919103143226315,0.13450341816999692,0.10640194320817085,0.15469120658952096,-0.3065514181154497,0.3083741171124163,0.22119621105453172,0.42331474435381666,0.06132030516531837,0.06268256465217074,0.04239502455115756,-0.44640334130067316,-0.47853587339081405,11,5
murray_darling_basin_masked,spatial,2,platt,63,12176.0,19542480.0,0.09365157582963103,0.23025526458558665,0.2807857349954154,0.14786632242775474,0.13660368875595563,0.18713415916578452,-0.24602497279973956,0.24460891987372244,0.25812318641519244,0.490939448393675,0.05846103108790289,0.06839123229356439,0.03645918425774221,-0.6034651426818067,-0.8758300188529677,9,4
murray_darling_basin_masked,spatial,3,platt,63,8796.0,14117580.0,0.10202328619791103,0.2301926211097322,0.28064782646953007,0.1508416385292238,0.12816933491182123,0.1786245402716191,-0.19713910155764977,0.19982378575627216,0.23176257656960117,0.441635764726808,0.06230326529169822,0.07271266355197775,0.043092228121404244,-0.4458121106239967,-0.6873730304017585,10,5
murray_darling_basin_masked,tabular,0,platt,63,8022.0,12875310.0,0.11571946987055441,0.2276970176510106,0.24524885869071236,0.1576202439628019,0.11197754778045622,0.129529388820158,-0.24588770227803514,0.2491601052066202,0.2291815450056566,0.6829136405192029,0.057067676307621,0.05980975630931514,0.0427708408270128,-0.33426594390397724,-0.39837691176604273,12,5
murray_darling_basin_masked,tabular,1,platt,63,11373.0,18253665.0,0.12449982484274226,0.22994311193766262,0.23749850476566672,0.13450341816999692,0.10544328709492035,0.11299867992292445,-0.2451644251944942,0.2418888275861637,0.20253154900127587,0.5950955576847008,0.059250814097223006,0.057774298647151306,0.04239502455115756,-0.39758886153552697,-0.36276129708182525,11,5
murray_darling_basin_masked,tabular,2,platt,63,12176.0,19542480.0,0.09365157582963103,0.22918196229002943,0.2399508059645459,0.14786632242775474,0.1355303864603984,0.14629923013491494,-0.2350748946404042,0.22991226007538715,0.23329805926568276,0.6819510301397841,0.05718450290006266,0.059798228521839004,0.03645918425774221,-0.5684526152808638,-0.640141701994901,9,4
murray_darling_basin_masked,tabular,3,platt,63,8796.0,14117580.0,0.10202328619791103,0.23025704438853448,0.23665393663099396,0.1508416385292238,0.12823375819062346,0.1346306504330829,-0.2330184262507097,0.23479362459352432,0.21034710991836342,0.6128795183929202,0.06220690954341778,0.061706812042871255,0.043092228121404244,-0.44357607520691467,-0.43197079225107426,10,5
southern_great_plains_basin_masked,spatial,0,isotonic,63,4227.0,6784335.0,0.22234238699817124,0.13194869697859668,0.3007918974074019,0.15252498835181585,-0.09039369001957459,0.07844951040923058,0.14692494601722797,0.0792798395364112,0.18220475189376892,0.6895633782107792,0.07616758722479565,0.1009774837374324,0.07824356931939215,0.02653230307173604,-0.29055313575023467,22,9
southern_great_plains_basin_masked,spatial,1,isotonic,63,5779.0,9275295.0,0.23666422212883537,0.1330157989058249,0.3000839516776172,0.15527534855792344,-0.10364842322301047,0.06341972954878171,0.2279521732063267,0.1935396525439192,0.16672509115946935,0.6316571473185032,0.08648664770678284,0.09589690306500802,0.08701984099574571,0.006127261126447459,-0.10201193162024169,22,13
southern_great_plains_basin_masked,spatial,2,isotonic,63,5375.0,8626875.0,0.23521004060538944,0.12727250214785216,0.2870534204491427,0.1594110844194565,-0.10793753845753727,0.05184337984375318,0.23587608791318612,0.22483859843035267,0.14193497992509355,0.5825959127844529,0.09085020306732203,0.09221131595947853,0.08969544598381639,-0.012874199696983446,-0.028049026882770223,21,14
southern_great_plains_basin_masked,spatial,3,isotonic,63,4043.0,6489015.0,0.18670325744280727,0.127703209784703,0.2873819987786606,0.17027582305841021,-0.059000047658104286,0.10067874133585333,0.15907379827595136,0.18509851382858641,0.14937061046297845,0.5913848024458292,0.07745766004027273,0.09595300312073834,0.07522990185172479,-0.029612669081221954,-0.27546362229553334,16,11
southern_great_plains_basin_masked,tabular,0,isotonic,63,4227.0,6784335.0,0.22234238699817124,0.12806036368124105,0.30847953321240607,0.15252498835181585,-0.0942820233169302,0.08613714621423486,0.04164917881922472,0.09296760952551558,0.12267098618334972,0.6964675037755267,0.07863282928427055,0.10150762186711752,0.07824356931939215,-0.004974977090953514,-0.2973286207427597,22,9
southern_great_plains_basin_masked,tabular,1,isotonic,63,5779.0,9275295.0,0.23666422212883537,0.12761483857703088,0.30813868538498806,0.15527534855792344,-0.10904938355180449,0.07147446325615261,0.15302156186368984,0.18579980429169476,0.10928253735977624,0.6362958696165772,0.08976109025169682,0.09809245746140341,0.08701984099574571,-0.03150142800289801,-0.12724243504649735,22,13
southern_great_plains_basin_masked,tabular,2,isotonic,63,5375.0,8626875.0,0.23521004060538944,0.12340593793974652,0.29398185999445603,0.1594110844194565,-0.11180410266564292,0.05877181938906664,0.11440647791575928,0.19484398117822477,0.10282511462901958,0.5898946055439529,0.09451307661480353,0.09635636080364197,0.08969544598381639,-0.0537109836307228,-0.07426146050968296,21,14
southern_great_plains_basin_masked,tabular,3,isotonic,63,4043.0,6489015.0,0.18670325744280727,0.12444235853966298,0.29501331090446287,0.17027582305841021,-0.06226089890314429,0.10831005346165562,0.16679269641554065,0.16776485695226717,0.10045066764779523,0.5989753455231387,0.07798905208713286,0.09959615576728388,0.07522990185172479,-0.03667624398668301,-0.32389054505991544,16,11
